date,variable,forecast_original
2007-07-01,lrate,-2.9920126792752515
2007-10-01,lrate,-4.122062156695105
2008-01-01,lrate,-5.126914361056615
2008-04-01,lrate,-5.996617412611437
2008-07-01,lrate,-6.810248746877937
2008-10-01,lrate,-7.640915842399522
2009-01-01,lrate,-7.857059984774608
2009-04-01,lrate,-8.085284626938135
2009-07-01,lrate,-7.919994688196196
2009-10-01,lrate,-7.987332573338538
2010-01-01,lrate,-7.864056254136067
2010-04-01,lrate,-7.857006915342973
2010-07-01,lrate,-8.293886076897705
2010-10-01,lrate,-8.335231711508968
2011-01-01,lrate,-8.311155264267196
2011-04-01,lrate,-8.115010389583237
2011-07-01,lrate,-7.8391058298423175
2011-10-01,lrate,-7.515238776531273
2012-01-01,lrate,-7.490342467477381
2012-04-01,lrate,-7.256340742596791
2012-07-01,lrate,-6.8687343725746715
2012-10-01,lrate,-6.900320681401006
2013-01-01,lrate,-6.50101528217847
2013-04-01,lrate,-6.503987527499961
2013-07-01,lrate,-6.7777425056128635
2013-10-01,lrate,-6.909825189643151
2014-01-01,lrate,-6.53627921944498
2014-04-01,lrate,-6.677688703991777
2014-07-01,lrate,-6.412227600633003
2014-10-01,lrate,-6.08743652116611
2015-01-01,lrate,-5.561490869054795
2015-04-01,lrate,-4.095463305295969
2015-07-01,lrate,-2.671988853534876
2015-10-01,lrate,-1.6447067771214643
2016-01-01,lrate,-0.23416686586576185
2016-04-01,lrate,0.4456030974659455
2016-07-01,lrate,1.1657167137664746
2016-10-01,lrate,2.1250449207807383
2017-01-01,lrate,2.753367555650503
2017-04-01,lrate,3.7704172376768663
2017-07-01,lrate,4.2930538536382326
2017-10-01,lrate,4.854526895765778
2018-01-01,lrate,5.626831518531232
2018-04-01,lrate,6.1527443746805535
2018-07-01,lrate,7.011902390521122
2018-10-01,lrate,7.049394064152441
2019-01-01,lrate,7.703605659903824
2019-04-01,lrate,8.216578246846856
2019-07-01,lrate,8.84843295015417
2019-10-01,lrate,9.677010006974184
2020-01-01,lrate,10.427821079432617
2020-04-01,lrate,11.277718517383096
2020-07-01,lrate,11.203624837241458
2020-10-01,lrate,11.520156110543525
2021-01-01,lrate,11.420436666708397
2021-04-01,lrate,10.976496106891958
2021-07-01,lrate,10.429161356849251
2021-10-01,lrate,10.30547922852241
2022-01-01,lrate,9.836404834009329
2022-04-01,lrate,9.240097052977891
2022-07-01,lrate,9.644772826818013
2022-10-01,lrate,8.082159443744372
2023-01-01,lrate,8.487412340515906
2023-04-01,lrate,7.890447110403995
2023-07-01,lrate,7.852132194834159
2023-10-01,lrate,7.567971735196938
2024-01-01,lrate,7.75232770562763
2024-04-01,lrate,8.277198703639607
2024-07-01,lrate,8.02542807131999
2024-10-01,lrate,8.756311723360941
2002-04-01,srate,0.748125059233511
2002-07-01,srate,0.7937568920324403
2002-10-01,srate,0.5593851757152986
2003-01-01,srate,0.8575484136404031
2003-04-01,srate,1.497708085837506
2003-07-01,srate,0.27599807264138143
2003-10-01,srate,0.5240099722305374
2004-01-01,srate,0.4386122864587255
2004-04-01,srate,0.32452866430797667
2004-07-01,srate,1.2062275512499105
2004-10-01,srate,0.8994637378322354
2005-01-01,srate,0.5657673074564723
2005-04-01,srate,0.6975888565731627
2005-07-01,srate,0.13686942293620474
2005-10-01,srate,0.7920310218963351
2006-01-01,srate,0.9416687682651627
2006-04-01,srate,1.5356239332228976
2006-07-01,srate,1.657644782895179
2006-10-01,srate,1.3558407584290337
2007-01-01,srate,1.45919359832617
2007-04-01,srate,1.9234520443777101
2007-07-01,srate,2.172478845675064
2007-10-01,srate,2.4013085254911886
2008-01-01,srate,3.089071685077309
2008-04-01,srate,3.502611328476599
2008-07-01,srate,3.2063393057890823
2008-10-01,srate,2.879030252771311
2009-01-01,srate,0.684129657016765
2009-04-01,srate,0.04195242977473512
2009-07-01,srate,0.537663818215631
2009-10-01,srate,0.19750439859866598
2010-01-01,srate,0.8192511209219548
2010-04-01,srate,1.1229746364253335
2010-07-01,srate,0.11043196799424715
2010-10-01,srate,0.10409802284877323
2011-01-01,srate,0.09037064059242583
2011-04-01,srate,0.0737942650078992
2011-07-01,srate,0.26270350669384057
2011-10-01,srate,0.04136395687544869
2012-01-01,srate,-0.21369187908254084
2012-04-01,srate,0.3920342291624148
2012-07-01,srate,-0.12346333149001643
2012-10-01,srate,-0.15095859338642992
2013-01-01,srate,-0.8455954843838029
2013-04-01,srate,-0.6687324156193839
2013-07-01,srate,-1.0013161274952864
2013-10-01,srate,-0.9276118184548463
2014-01-01,srate,-0.7973822827920867
2014-04-01,srate,-0.905989433977614
2014-07-01,srate,-0.6697833262099187
2014-10-01,srate,-0.9467012772195713
2015-01-01,srate,-1.0091579471556384
2015-04-01,srate,-0.8430866674186965
2015-07-01,srate,-0.8764819626581071
2015-10-01,srate,-1.2080298773011018
2016-01-01,srate,-0.8797214161577847
2016-04-01,srate,-1.0677407675284494
2016-07-01,srate,-0.8040972404632403
2016-10-01,srate,-0.5602105764228105
2017-01-01,srate,-1.7092281795282385
2017-04-01,srate,-1.0934450845600914
2017-07-01,srate,-1.7560077125029392
2017-10-01,srate,-1.2892856475046242
2018-01-01,srate,-1.2962108448555063
2018-04-01,srate,-0.7942920043638309
2018-07-01,srate,-0.5163278709365509
2018-10-01,srate,-2.3509445594408622
2019-01-01,srate,-1.6631573033133011
2019-04-01,srate,-1.5873168969652642
2019-07-01,srate,-1.0287546563073242
2019-10-01,srate,-2.130471772071755
2020-01-01,srate,-1.6922685648769167
2020-04-01,srate,-2.1102986135037707
2020-07-01,srate,-4.602327847282483
2020-10-01,srate,-0.10401662802690237
2021-01-01,srate,-1.8298849749521273
2021-04-01,srate,-1.2908205777388204
2021-07-01,srate,0.04432792329913626
2021-10-01,srate,-0.8925715037522644
2022-01-01,srate,-0.9556032888427981
2022-04-01,srate,0.25222748218556257
2022-07-01,srate,1.765139502379629
2022-10-01,srate,-0.1700361081231483
2023-01-01,srate,1.415094382417858
2023-04-01,srate,0.2938887521992948
2023-07-01,srate,1.3741862674687009
2023-10-01,srate,1.8472009275708519
2024-01-01,srate,2.6644325577090635
2024-04-01,srate,2.9562578415529437
2024-07-01,srate,1.506300482225403
2024-10-01,srate,2.3700773336639003
